,,precision,recall,f1-score,support
1,benign,0.0,0.0,0.0,2.0
1,censys,0.0,0.0,0.0,1.0
1,driftnet,0.0,0.0,0.0,1.0
1,internetcensus,0.0,0.0,0.0,4.0
1,intrinsec,0.0,0.0,0.0,2.0
1,mirai,0.0,0.0,0.0,3.0
1,rapid7,0.0,0.0,0.0,2.0
1,securitytrails,0.0,0.0,0.0,1.0
1,unk_bruteforcer,0.0,0.0,0.0,1.0
1,unk_exploiter,0.0,0.0,0.0,2.0
1,unk_spammer,0.0,0.0,0.0,1.0
1,accuracy,0.0,0.0,0.0,0.0
1,macro avg,0.0,0.0,0.0,20.0
1,weighted avg,0.0,0.0,0.0,20.0
2,benign,0.0,0.0,0.0,2.0
2,censys,0.0,0.0,0.0,1.0
2,driftnet,0.0,0.0,0.0,1.0
2,internetcensus,0.16666666666666666,0.25,0.2,4.0
2,intrinsec,0.0,0.0,0.0,2.0
2,mirai,0.0,0.0,0.0,3.0
2,rapid7,0.0,0.0,0.0,2.0
2,securitytrails,0.0,0.0,0.0,1.0
2,unk_bruteforcer,0.0,0.0,0.0,1.0
2,unk_exploiter,0.0,0.0,0.0,2.0
2,unk_spammer,0.0,0.0,0.0,1.0
2,accuracy,0.05,0.05,0.05,0.05
2,macro avg,0.01515151515151515,0.022727272727272728,0.018181818181818184,20.0
2,weighted avg,0.03333333333333333,0.05,0.04,20.0
3,benign,0.0,0.0,0.0,2.0
3,censys,0.0,0.0,0.0,1.0
3,driftnet,0.0,0.0,0.0,1.0
3,internetcensus,0.0,0.0,0.0,4.0
3,intrinsec,0.3333333333333333,0.5,0.4,2.0
3,mirai,0.0,0.0,0.0,3.0
3,rapid7,0.0,0.0,0.0,2.0
3,securitytrails,0.0,0.0,0.0,1.0
3,unk_bruteforcer,0.0,0.0,0.0,1.0
3,unk_exploiter,0.0,0.0,0.0,2.0
3,unk_spammer,0.0,0.0,0.0,1.0
3,accuracy,0.05,0.05,0.05,0.05
3,macro avg,0.0303030303030303,0.045454545454545456,0.03636363636363637,20.0
3,weighted avg,0.03333333333333333,0.05,0.04,20.0
4,benign,0.2857142857142857,1.0,0.4444444444444444,2.0
4,censys,0.0,0.0,0.0,1.0
4,driftnet,0.0,0.0,0.0,1.0
4,internetcensus,0.0,0.0,0.0,4.0
4,intrinsec,0.3333333333333333,0.5,0.4,2.0
4,mirai,0.0,0.0,0.0,3.0
4,rapid7,0.0,0.0,0.0,2.0
4,securitytrails,0.0,0.0,0.0,1.0
4,unk_bruteforcer,0.0,0.0,0.0,1.0
4,unk_exploiter,0.0,0.0,0.0,2.0
4,unk_spammer,0.0,0.0,0.0,1.0
4,accuracy,0.15,0.15,0.15,0.15
4,macro avg,0.05627705627705628,0.13636363636363635,0.07676767676767676,20.0
4,weighted avg,0.06190476190476191,0.15,0.08444444444444445,20.0
5,benign,0.0,0.0,0.0,2.0
5,censys,0.0,0.0,0.0,1.0
5,driftnet,0.0,0.0,0.0,1.0
5,internetcensus,0.16666666666666666,0.25,0.2,4.0
5,intrinsec,0.0,0.0,0.0,2.0
5,mirai,0.5,0.3333333333333333,0.4,3.0
5,rapid7,0.0,0.0,0.0,2.0
5,securitytrails,0.0,0.0,0.0,1.0
5,unk_bruteforcer,0.0,0.0,0.0,1.0
5,unk_exploiter,0.0,0.0,0.0,2.0
5,unk_spammer,0.0,0.0,0.0,1.0
5,accuracy,0.1,0.1,0.1,0.1
5,macro avg,0.0606060606060606,0.053030303030303025,0.05454545454545456,20.0
5,weighted avg,0.10833333333333332,0.1,0.1,20.0
6,benign,0.0,0.0,0.0,2.0
6,censys,0.0,0.0,0.0,1.0
6,driftnet,0.0,0.0,0.0,1.0
6,internetcensus,0.25,0.5,0.3333333333333333,4.0
6,intrinsec,0.0,0.0,0.0,2.0
6,mirai,0.5,0.6666666666666666,0.5714285714285714,3.0
6,rapid7,0.0,0.0,0.0,2.0
6,securitytrails,0.0,0.0,0.0,1.0
6,unk_bruteforcer,0.0,0.0,0.0,1.0
6,unk_exploiter,0.0,0.0,0.0,2.0
6,unk_spammer,0.0,0.0,0.0,1.0
6,accuracy,0.2,0.2,0.2,0.2
6,macro avg,0.06818181818181818,0.10606060606060605,0.08225108225108224,20.0
6,weighted avg,0.125,0.2,0.15238095238095237,20.0
7,benign,0.0,0.0,0.0,2.0
7,censys,0.0,0.0,0.0,1.0
7,driftnet,0.0,0.0,0.0,1.0
7,internetcensus,0.18181818181818182,0.5,0.26666666666666666,4.0
7,intrinsec,0.0,0.0,0.0,2.0
7,mirai,0.0,0.0,0.0,3.0
7,rapid7,0.0,0.0,0.0,2.0
7,securitytrails,0.0,0.0,0.0,1.0
7,unk_bruteforcer,0.0,0.0,0.0,1.0
7,unk_exploiter,0.0,0.0,0.0,2.0
7,unk_spammer,0.0,0.0,0.0,1.0
7,accuracy,0.1,0.1,0.1,0.1
7,macro avg,0.01652892561983471,0.045454545454545456,0.024242424242424242,20.0
7,weighted avg,0.03636363636363636,0.1,0.05333333333333333,20.0
8,benign,0.0,0.0,0.0,2.0
8,censys,0.0,0.0,0.0,1.0
8,driftnet,0.0,0.0,0.0,1.0
8,internetcensus,0.0,0.0,0.0,4.0
8,intrinsec,0.16666666666666666,0.5,0.25,2.0
8,mirai,0.0,0.0,0.0,3.0
8,rapid7,0.0,0.0,0.0,2.0
8,securitytrails,0.0,0.0,0.0,1.0
8,unk_bruteforcer,0.0,0.0,0.0,1.0
8,unk_exploiter,0.0,0.0,0.0,2.0
8,unk_spammer,0.0,0.0,0.0,1.0
8,accuracy,0.05,0.05,0.05,0.05
8,macro avg,0.01515151515151515,0.045454545454545456,0.022727272727272728,20.0
8,weighted avg,0.016666666666666666,0.05,0.025,20.0
9,benign,0.16666666666666666,0.5,0.25,2.0
9,censys,0.0,0.0,0.0,1.0
9,driftnet,0.0,0.0,0.0,1.0
9,internetcensus,0.14285714285714285,0.25,0.18181818181818182,4.0
9,intrinsec,0.0,0.0,0.0,2.0
9,mirai,0.5,0.3333333333333333,0.4,3.0
9,rapid7,0.0,0.0,0.0,2.0
9,securitytrails,0.0,0.0,0.0,1.0
9,unk_bruteforcer,0.0,0.0,0.0,1.0
9,unk_exploiter,0.0,0.0,0.0,2.0
9,unk_spammer,0.0,0.0,0.0,1.0
9,accuracy,0.15,0.15,0.15,0.15
9,macro avg,0.0735930735930736,0.09848484848484848,0.0756198347107438,20.0
9,weighted avg,0.12023809523809523,0.15,0.12136363636363638,20.0
10,benign,0.0,0.0,0.0,2.0
10,censys,0.0,0.0,0.0,1.0
10,driftnet,0.0,0.0,0.0,1.0
10,internetcensus,0.5,0.5,0.5,4.0
10,intrinsec,0.0,0.0,0.0,2.0
10,mirai,0.4,0.6666666666666666,0.5,3.0
10,rapid7,0.0,0.0,0.0,2.0
10,securitytrails,0.0,0.0,0.0,1.0
10,unk_bruteforcer,0.0,0.0,0.0,1.0
10,unk_exploiter,0.0,0.0,0.0,2.0
10,unk_spammer,0.0,0.0,0.0,1.0
10,accuracy,0.2,0.2,0.2,0.2
10,macro avg,0.08181818181818182,0.10606060606060605,0.09090909090909091,20.0
10,weighted avg,0.16,0.2,0.175,20.0
11,benign,0.0,0.0,0.0,2.0
11,censys,0.0,0.0,0.0,1.0
11,driftnet,0.0,0.0,0.0,1.0
11,internetcensus,0.14285714285714285,0.25,0.18181818181818182,4.0
11,intrinsec,0.0,0.0,0.0,2.0
11,mirai,0.5,0.3333333333333333,0.4,3.0
11,rapid7,0.0,0.0,0.0,2.0
11,securitytrails,0.0,0.0,0.0,1.0
11,unk_bruteforcer,0.0,0.0,0.0,1.0
11,unk_exploiter,0.0,0.0,0.0,2.0
11,unk_spammer,0.0,0.0,0.0,1.0
11,accuracy,0.1,0.1,0.1,0.1
11,macro avg,0.05844155844155843,0.053030303030303025,0.05289256198347107,20.0
11,weighted avg,0.10357142857142856,0.1,0.09636363636363637,20.0
12,benign,0.0,0.0,0.0,2.0
12,censys,0.0,0.0,0.0,1.0
12,driftnet,0.0,0.0,0.0,1.0
12,internetcensus,0.4,0.5,0.4444444444444444,4.0
